	title	mean	rank	popularity	genres
208	Gyakkyou Burai Kaiji: Hakairoku-hen	8.24	330	1240	['Adult Cast', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game', 'Suspense']
209	Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season	8.23	335	1591	['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Space']
210	Kimetsu no Yaiba: Katanakaji no Sato-hen	8.23	336	211	['Action', 'Fantasy', 'Historical', 'Shounen']
211	Nodame Cantabile Finale	8.23	337	1756	['Adult Cast', 'Comedy', 'Josei', 'Music', 'Romance']
212	Re:Zero kara Hajimeru Isekai Seikatsu	8.23	338	25	['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']
213	Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai	8.23	339	52	['Drama', 'Romance', 'School', 'Supernatural']
214	Danshi Koukousei no Nichijou	8.23	342	221	['Comedy', 'Gag Humor', 'School']
215	IDOLiSH7 Third Beat!	8.23	344	4635	['Drama', 'Idols (Male)', 'Music']
216	Kamisama Hajimemashita◎	8.22	346	556	['Comedy', 'Fantasy', 'Mythology', 'Romance', 'Shoujo']
217	Major S3	8.22	350	2639	['Shounen', 'Sports', 'Team Sports']
218	Ookami to Koushinryou	8.22	352	224	['Adult Cast', 'Adventure', 'Drama', 'Fantasy', 'Romance']
219	Shoujo Shuumatsu Ryokou	8.22	353	685	['Adventure', 'CGDCT', 'Iyashikei', 'Mystery', 'Sci-Fi', 'Slice of Life']
220	Tengoku Daimakyou	8.22	354	465	['Adventure', 'Mystery', 'Sci-Fi', 'Seinen']
221	Trigun	8.22	355	257	['Action', 'Adult Cast', 'Adventure', 'Sci-Fi', 'Shounen']
222	Shoujo Kakumei Utena	8.21	357	1098	['Award Winning', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Mystery', 'Psychological', 'School', 'Suspense']
223	SKET Dance	8.21	358	1089	['Comedy', 'School', 'Shounen']
224	xxxHOLiC◆Kei	8.21	359	1599	['Comedy', 'Drama', 'Mystery', 'Seinen', 'Supernatural']
225	BanG Dream! It's MyGO!!!!!	8.21	360	4879	['Drama', 'Music']
226	Bungou Stray Dogs 3rd Season	8.21	361	335	['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']
227	Fairy Tail: 100-nen Quest	8.21	363	1965	['Action', 'Adventure', 'Fantasy', 'Shounen']
228	Fruits Basket 1st Season	8.21	365	214	['Drama', 'Love Polygon', 'Romance', 'School', 'Shoujo', 'Supernatural']
229	Great Pretender	8.21	366	309	['Action', 'Adult Cast', 'Adventure', 'Mystery', 'Organized Crime']
230	Kuroko no Basket 2nd Season	8.21	368	207	['School', 'Shounen', 'Sports', 'Team Sports']
231	Magi: The Kingdom of Magic	8.21	370	212	['Action', 'Adventure', 'Fantasy', 'Shounen']
232	Major S1	8.21	371	2079	['Shounen', 'Sports', 'Team Sports']
233	Sasaki to Miyano	8.21	373	1223	['Boys Love', 'Otaku Culture', 'School']
234	Kimetsu no Yaiba: Hashira Geiko-hen	8.2	375	534	['Action', 'Fantasy', 'Historical', 'Shounen']
235	Vanitas no Karte Part 2	8.2	380	870	['Action', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Vampire']
236	Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku	8.2	381	143	['Comedy', 'Love Polygon', 'Romance', 'School']
237	Horimiya	8.2	383	93	['Romance', 'School', 'Shounen']
238	InuYasha: Kanketsu-hen	8.2	384	861	['Action', 'Adventure', 'Fantasy', 'Historical', 'Love Polygon', 'Mythology', 'Romance', 'Shounen', 'Time Travel']
239	Asobi Asobase	8.19	385	470	['Comedy', 'Gag Humor', 'School', 'Seinen']
240	Hachimitsu to Clover II	8.19	386	2012	['Adult Cast', 'Drama', 'Josei', 'Love Polygon', 'Romance', 'Visual Arts']
241	Maison Ikkoku	8.19	387	2535	['Adult Cast', 'Comedy', 'Drama', 'Romance', 'Seinen']
242	Nomad: Megalo Box 2	8.19	389	1202	['Adult Cast', 'Combat Sports', 'Sci-Fi', 'Sports']
243	Senki Zesshou Symphogear XV	8.19	391	3587	['Action', 'Idols (Female)', 'Music', 'Sci-Fi']
244	Sono Bisque Doll wa Koi wo Suru	8.18	393	138	['Otaku Culture', 'Romance', 'School', 'Seinen']
245	Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san	8.18	396	1371	['Comedy', 'Romance', 'School']
246	Ao Ashi	8.18	399	1149	['Seinen', 'Sports', 'Team Sports']
247	Bakuman.	8.18	400	349	['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']
248	Ballroom e Youkoso	8.18	401	707	['Performing Arts', 'Shounen', 'Sports']
249	Bungou Stray Dogs 2nd Season	8.18	402	204	['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']
250	Chihayafuru	8.18	403	491	['Drama', 'Josei', 'Love Polygon', 'School', 'Sports', 'Strategy Game']
251	Dragon Ball Z	8.18	405	113	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']
252	Fate/stay night: Unlimited Blade Works	8.18	406	139	['Action', 'Fantasy', 'Supernatural']
253	Horimiya: Piece	8.18	408	737	['Romance', 'School', 'Shounen']
254	Initial D Second Stage	8.18	410	1099	['Action', 'Drama', 'Racing', 'Seinen']
255	Little Busters! Refrain	8.18	412	1420	['Comedy', 'Drama', 'Romance', 'School', 'Supernatural']
256	Major S2	8.18	413	2570	['Shounen', 'Sports', 'Team Sports']
257	Major S4	8.18	414	2729	['Shounen', 'Sports', 'Team Sports']
258	Non Non Biyori Repeat	8.18	416	1204	['CGDCT', 'Iyashikei', 'School', 'Seinen', 'Slice of Life']
259	K-On!!	8.17	417	287	['Award Winning', 'CGDCT', 'Comedy', 'Music', 'School']
260	Meitantei Conan	8.17	419	683	['Adventure', 'Comedy', 'Detective', 'Mystery', 'Shounen']
261	Yuukoku no Moriarty	8.17	421	530	['Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Psychological', 'Shounen', 'Suspense']
262	Black Lagoon: The Second Barrage	8.17	422	427	['Action', 'Adult Cast', 'Organized Crime', 'Seinen']
263	Cardcaptor Sakura	8.17	423	517	['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance', 'School', 'Shoujo']
264	Higurashi no Naku Koro ni Kai	8.17	427	472	['Gore', 'Horror', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']
265	Initial D Fourth Stage	8.17	429	1272	['Action', 'Drama', 'Racing', 'Seinen']
266	Aria the Natural	8.16	431	2423	['Fantasy', 'Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']
267	Dr. Stone: Stone Wars	8.16	433	146	['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival']
268	Lycoris Recoil	8.16	437	447	['Action']
269	Ouran Koukou Host Club	8.16	438	131	['Comedy', 'Crossdressing', 'Reverse Harem', 'Romance', 'School', 'Shoujo']
270	Toaru Kagaku no Railgun T	8.16	440	1049	['Action', 'Fantasy', 'Sci-Fi', 'Super Power']
271	Shinigami Bocchan to Kuro Maid 3rd Season	8.15	441	3403	['Comedy', 'Romantic Subtext', 'Supernatural']
272	Dr. Stone: New World	8.15	442	485	['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']
273	Noragami Aragoto	8.15	446	82	['Action', 'Fantasy', 'Mythology', 'Shounen']
274	Kaiba	8.14	447	1523	['Adventure', 'Avant Garde', 'Award Winning', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi']
275	Shokugeki no Souma	8.14	451	61	['Ecchi', 'Gourmet', 'School', 'Shounen']
276	Tensei shitara Slime Datta Ken	8.14	452	83	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']
277	Black Clover	8.14	456	57	['Action', 'Comedy', 'Fantasy', 'Shounen']
278	Death Parade	8.14	457	48	['Adult Cast', 'Drama', 'High Stakes Game', 'Psychological', 'Supernatural', 'Suspense']
