	title	mean	rank	popularity	genres
1235	Kyokou Suiri Season 2	7.36	2421	1484	['Adult Cast', 'Mystery', 'Mythology', 'Romance', 'Shounen', 'Supernatural']
1236	Oda Nobuna no Yabou	7.36	2426	830	['Action', 'Comedy', 'Harem', 'Historical', 'Military', 'Romance', 'Time Travel']
1237	Ryman's Club	7.36	2429	2465	['Adult Cast', 'Sports', 'Workplace']
1238	s.CRY.ed	7.36	2430	2362	['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Super Power']
1239	Saiyuuki Reload	7.36	2431	3771	['Action', 'Adventure', 'Comedy', 'Drama', 'Josei', 'Mythology', 'Supernatural']
1240	Ai no Wakakusa Monogatari	7.36	2433	6571	['Drama', 'Historical', 'Slice of Life']
1241	Dakaretai Otoko 1-i ni Odosarete Imasu.	7.36	2436	1477	['Adult Cast', 'Boys Love', 'Comedy', 'Drama', 'Showbiz']
1242	Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen	7.36	2437	746	['Action', 'High Stakes Game', 'Horror', 'Mystery', 'Psychological', 'School', 'Survival', 'Suspense']
1243	Deca-Dence	7.36	2438	810	['Action', 'Adventure', 'Sci-Fi']
1244	Hakata Tonkotsu Ramens	7.36	2442	1505	['Action', 'Adult Cast', 'Crossdressing', 'Detective', 'Mystery', 'Organized Crime']
1245	Hakuouki	7.36	2443	1405	['Action', 'Drama', 'Historical', 'Josei', 'Samurai', 'Supernatural']
1246	Isekai Quartet 2	7.36	2447	1036	['Comedy', 'Fantasy', 'Isekai', 'Parody']
1247	AKB0048	7.35	2449	2817	['Idols (Female)', 'Music', 'Sci-Fi']
1248	Ao no Exorcist: Kyoto Fujouou-hen	7.35	2451	256	['Action', 'Fantasy', 'Mythology', 'School', 'Shounen']
1249	BNA	7.35	2452	645	['Action', 'Anthropomorphic', 'Fantasy', 'Super Power']
1250	Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak	7.35	2454	7905	['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Kids']
1251	Flanders no Inu	7.35	2460	7028	['Drama', 'Historical', 'Pets', 'Slice of Life', 'Visual Arts']
1252	Handa-kun	7.35	2462	816	['Comedy', 'School', 'Shounen', 'Visual Arts']
1253	Heya Camp△	7.35	2463	2118	['CGDCT', 'Iyashikei', 'Slice of Life']
1254	Taishou Yakyuu Musume.	7.35	2466	4767	['Comedy', 'Historical', 'School', 'Sports', 'Team Sports']
1255	Yomigaeru Sora: Rescue Wings	7.35	2473	5461	['Adult Cast', 'Drama', 'Military', 'Workplace']
1256	Yuusha Keisatsu J-Decker	7.35	2475	8986	['Action', 'Adventure', 'Detective', 'Mecha', 'Sci-Fi']
1257	Yuyushiki	7.35	2476	1985	['CGDCT', 'Comedy', 'Gag Humor', 'School']
1258	Kaginado Season 2	7.35	2477	5753	['Comedy']
1259	Kaitou Joker 4th Season	7.35	2479	8741	['Adventure', 'Comedy', 'Kids', 'Mystery']
1260	Kamichu!	7.35	2480	2773	['Award Winning', 'Iyashikei', 'Mythology', 'School', 'Slice of Life', 'Supernatural']
1261	Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou	7.35	2483	234	['Action', 'Fantasy', 'Reincarnation', 'School']
1262	Nami yo Kiitekure	7.35	2486	2319	['Adult Cast', 'Comedy', 'Drama', 'Seinen', 'Showbiz']
1263	Nanatsu no Umi no Tico	7.35	2487	7748	['Adventure', 'Slice of Life']
1264	Plawres Sanshirou	7.35	2490	9051	['Action', 'Adventure', 'School', 'Sci-Fi', 'Shounen']
1265	Re:␣Hamatora	7.35	2493	1402	['Action', 'Detective', 'Mystery', 'Super Power', 'Supernatural']
1266	Rikei ga Koi ni Ochita no de Shoumei shitemita.	7.35	2494	679	['Adult Cast', 'Comedy', 'Romance']
1267	Selector Spread WIXOSS	7.35	2496	2441	['High Stakes Game', 'Psychological', 'Strategy Game', 'Suspense']
1268	Karakuri Zoushi Ayatsuri Sakon	7.34	2498	5910	['Detective', 'Mystery', 'Shounen', 'Suspense']
1269	Kaze no Shoujo Emily	7.34	2499	7077	['Drama', 'Historical']
1270	Kemonozume	7.34	2500	2494	['Action', 'Adult Cast', 'Avant Garde', 'Gore', 'Horror', 'Mythology', 'Romance', 'Supernatural']
1271	Kenka Dokugaku	7.34	2501	2975	['Action', 'School']
1272	Mononogatari 2nd Season	7.34	2506	3813	['Action', 'Adult Cast', 'Fantasy', 'Mythology', 'Seinen']
1273	Nisekoi:	7.34	2509	288	['Comedy', 'Harem', 'Romance', 'School', 'Shounen']
1274	Rekka no Honoo	7.34	2515	2675	['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power']
1275	Sabage-bu!	7.34	2516	1503	['Action', 'CGDCT', 'Comedy', 'School', 'Shoujo']
1276	Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru	7.34	2518	413	['Action', 'Drama', 'Fantasy', 'Isekai', 'Mystery', 'Reincarnation', 'Romance']
1277	Aoki Hagane no Arpeggio: Ars Nova	7.34	2521	1543	['Action', 'Sci-Fi', 'Seinen']
1278	Captain Tsubasa	7.34	2522	2298	['Shounen', 'Sports', 'Team Sports']
1279	Futatsu no Spica	7.34	2526	6208	['Drama', 'School', 'Sci-Fi', 'Supernatural']
1280	Garo: Honoo no Kokuin	7.34	2527	1598	['Action', 'Fantasy']
1281	Isekai Shikkaku	7.33	2530	2594	['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']
1282	Strike Witches: Road to Berlin	7.34	2531	4251	['Action', 'Ecchi', 'Military', 'Sci-Fi']
1283	The iDOLM@STER Cinderella Girls 2nd Season	7.34	2533	3723	['Comedy', 'Drama', 'Idols (Female)', 'Music']
1284	Toaru Majutsu no Index	7.34	2534	227	['Action', 'Fantasy', 'Sci-Fi', 'Super Power']
1285	Watashi no Oshi wa Akuyaku Reijou.	7.34	2538	2022	['Comedy', 'Fantasy', 'Girls Love', 'Isekai', 'School']
1286	Yokoyama Mitsuteru Sangokushi	7.34	2539	7780	['Action', 'Adventure', 'Historical']
1287	Uchuu no Stellvia	7.33	2546	4452	['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']
1288	Un-Go	7.33	2547	1531	['Adult Cast', 'Detective', 'Mystery', 'Sci-Fi', 'Supernatural']
1289	Wonderful Precure!	7.33	2549	8012	['Action', 'Fantasy', 'Mahou Shoujo']
1290	Kidou Shinseiki Gundam X	7.33	2558	3727	['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi', 'Space']
1291	Kore wa Zombie desu ka?	7.33	2559	347	['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Vampire']
1292	Nanbaka	7.33	2565	711	['Action', 'Comedy', 'Drama']
1293	Otome Game Sekai wa Mob ni Kibishii Sekai desu	7.33	2570	780	['Action', 'Fantasy', 'Harem', 'Isekai', 'Mecha', 'Reincarnation', 'Romance', 'School']
1294	Rozen Maiden (2013)	7.33	2572	2433	['Action', 'Comedy', 'Drama', 'Fantasy', 'Seinen']
1295	Saber Marionette J	7.33	2573	3873	['Action', 'Adventure', 'Comedy', 'Drama', 'Harem', 'Martial Arts', 'Mecha', 'Romance', 'Sci-Fi']
1296	Sakurada Reset	7.33	2575	1581	['Mystery', 'School', 'Super Power', 'Supernatural', 'Time Travel']
1297	Bartender	7.33	2578	2141	['Adult Cast', 'Drama', 'Gourmet', 'Seinen', 'Workplace']
1298	Bokutachi wa Benkyou ga Dekinai!	7.33	2580	812	['Comedy', 'Harem', 'Romance', 'School', 'Shounen']
1299	Free!	7.33	2582	239	['School', 'Sports']
1300	Future GPX Cyber Formula	7.33	2583	6649	['Adventure', 'Racing', 'Sci-Fi']
1301	Ginga Kikoutai Majestic Prince	7.33	2585	2987	['Action', 'Mecha', 'School', 'Sci-Fi', 'Seinen', 'Space']
1302	Glass no Kamen	7.33	2587	6579	['Drama', 'Performing Arts', 'Romance', 'Shoujo']
1303	High School DxD	7.33	2588	88	['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance', 'School']
1304	Honobono Log	7.33	2590	2402	['Iyashikei', 'Romance', 'Slice of Life']
1305	Jibaku-kun	7.33	2593	5680	['Adventure', 'Comedy', 'Fantasy']
1306	Aa! Megami-sama! (TV)	7.32	2595	1471	['Comedy', 'Romance', 'Seinen', 'Supernatural']
1307	Allison to Lillia	7.32	2596	3437	['Action', 'Adventure']
1308	Black Cat (TV)	7.32	2599	909	['Action', 'Adventure', 'Sci-Fi', 'Shounen', 'Super Power']
1309	Chibi Maruko-chan (1995)	7.32	2605	7821	['Comedy', 'School', 'Shoujo']
1310	Fuuto Tantei	7.32	2614	2672	['Action', 'Detective', 'Mystery', 'Seinen', 'Supernatural']
1311	Healer Girl	7.32	2615	3934	['CGDCT', 'Fantasy', 'Medical', 'Music', 'Slice of Life']
1312	Himouto! Umaru-chan R	7.32	2616	950	['Comedy', 'Otaku Culture', 'School', 'Seinen']
1313	Idaten Jump	7.32	2618	4932	['Racing', 'School', 'Sports']
1314	Shokugeki no Souma: Gou no Sara	7.32	2619	420	['Ecchi', 'Gourmet', 'School', 'Shounen']
1315	Tamayura: Hitotose	7.32	2621	3217	['CGDCT', 'Iyashikei', 'Slice of Life']
1316	Tonari no Youkai-san	7.32	2622	5064	['Drama', 'Fantasy', 'Mythology']
1317	Zero no Tsukaima: Princesses no Rondo	7.32	2624	509	['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Isekai', 'Romance', 'School']
1318	Kaikan Phrase	7.32	2625	5642	['Drama', 'Music', 'Romance', 'Shoujo', 'Showbiz']
1319	Koori Zokusei Danshi to Cool na Douryou Joshi	7.32	2626	1175	['Adult Cast', 'Comedy', 'Fantasy', 'Mythology', 'Romance', 'Workplace']
1320	Kure-nai	7.32	2627	2254	['Childcare', 'Comedy', 'Drama']
1321	Mama wa Shougaku 4-nensei	7.32	2629	7345	['Award Winning', 'Childcare', 'Comedy', 'Drama', 'Sci-Fi']
1322	Megami no Café Terrace	7.32	2630	1850	['Adult Cast', 'Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen']
1323	Minami-ke Okawari	7.32	2634	2557	['CGDCT', 'Comedy', 'School', 'Seinen', 'Slice of Life']
1324	Sengoku Basara	7.32	2641	1460	['Action', 'Fantasy', 'Historical', 'Martial Arts', 'Samurai', 'Super Power']
1325	Sewayaki Kitsune no Senko-san	7.32	2642	671	['Iyashikei', 'Slice of Life', 'Supernatural']
1326	Legendz: Yomigaeru Ryuuou Densetsu	7.31	2644	9556	['Action', 'Adventure', 'Comedy', 'Fantasy']
1327	Love Lab	7.31	2647	1200	['CGDCT', 'Comedy', 'Romance', 'School']
1328	Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?	7.31	2649	1765	['Action', 'Fantasy', 'Romance']
1329	Ojamajo Doremi	7.31	2652	2950	['Comedy', 'Fantasy', 'Mahou Shoujo']
1330	Ousama Ranking: Yuuki no Takarabako	7.31	2654	1657	['Adventure', 'Fantasy']
1331	Piano no Mori (TV)	7.31	2655	1752	['Drama', 'Music', 'School', 'Seinen']
1332	Robotics;Notes	7.31	2658	1346	['Drama', 'Mecha', 'Mystery', 'School', 'Sci-Fi']
1333	Saki Achiga-hen: Episode of Side-A	7.31	2659	3689	['School', 'Slice of Life', 'Strategy Game']
1334	Araburu Kisetsu no Otome-domo yo.	7.31	2662	700	['Drama', 'Romance', 'School', 'Shounen']
1335	Cinderella Monogatari	7.31	2665	7011	['Adventure', 'Fantasy', 'Romance']
1336	Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me	7.31	2666	1218	['Adult Cast', 'Comedy', 'Otaku Culture', 'Romance']
1337	Hanayamata	7.31	2670	1961	['CGDCT', 'Iyashikei', 'Performing Arts', 'School', 'Slice of Life']
1338	Henjin no Salad Bowl	7.3	2671	3195	['Comedy', 'Fantasy']
1339	Time Travel Tondekeman!	7.31	2678	10318	['Action', 'Adventure', 'Comedy', 'Kids']
1340	Tsuki to Laika to Nosferatu	7.31	2680	1532	['Fantasy', 'Historical', 'Military', 'Space', 'Vampire']
1341	VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta	7.31	2682	4199	['Comedy', 'Otaku Culture']
1342	World Dai Star	7.31	2683	5607	['Performing Arts']
1343	Zoids Shinseiki/Zero	7.31	2685	4152	['Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Sports']
1344	Shinrei Tantei Yakumo	7.3	2686	1697	['Adult Cast', 'Detective', 'Horror', 'Mystery', 'Supernatural']
1345	Shoukoushi Cedie	7.3	2687	8608	['Drama', 'Historical', 'Slice of Life']
1346	Sousei no Onmyouji	7.3	2692	432	['Action', 'Fantasy', 'Mythology', 'Romance', 'Shounen']
1347	Speed Grapher	7.3	2693	1906	['Action', 'Adult Cast', 'Gore', 'Mystery', 'Organized Crime', 'Psychological', 'Super Power', 'Supernatural', 'Suspense']
1348	Tales of Zestiria the Cross 2nd Season	7.3	2694	1467	['Action', 'Adventure', 'Fantasy']
1349	Tetsujin 28-gou (2004)	7.3	2696	7941	['Adventure', 'Drama', 'Historical', 'Mecha', 'Sci-Fi', 'Shounen']
1350	The Third: Aoi Hitomi no Shoujo	7.3	2698	4722	['Action', 'Adventure', 'Sci-Fi']
1351	Tiger Mask Nisei	7.3	2699	7538	['Combat Sports', 'Drama', 'Sports']
1352	Tom Sawyer no Bouken	7.3	2701	6570	['Adventure', 'Drama', 'Historical', 'Slice of Life']
1353	Uma Musume: Pretty Derby	7.3	2703	1616	['Anthropomorphic', 'Racing', 'Sports']
1354	Wagamama☆Fairy Mirumo de Pon!	7.3	2704	4906	['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'School', 'Shoujo']
1355	Zoku Touken Ranbu: Hanamaru	7.3	2707	4096	['Action', 'Anthropomorphic', 'Comedy', 'Fantasy', 'Historical']
1356	Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone	7.3	2709	7340	['Adventure', 'Drama', 'Historical', 'Slice of Life']
1357	Onegai My Melody: Kurukuru Shuffle!	7.3	2713	7877	['Comedy', 'Fantasy']
1358	Ore wo Suki nano wa Omae dake ka yo	7.3	2714	493	['Comedy', 'Harem', 'Romance', 'School']
1359	Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart	7.3	2720	1540	['Adult Cast', 'Comedy', 'Romance']
1360	Ristorante Paradiso	7.3	2721	3241	['Drama', 'Gourmet', 'Romance', 'Workplace']
1361	Seijo no Maryoku wa Bannou desu	7.3	2722	1188	['Fantasy', 'Isekai', 'Medical', 'Romance']
1362	Seitokai no Ichizon	7.3	2723	1232	['Comedy', 'Harem', 'Parody', 'School']
1363	Bamboo Blade	7.3	2726	2275	['Combat Sports', 'Comedy', 'School', 'Seinen', 'Sports']
1364	Fuyu no Sonata	7.3	2734	4551	['Drama', 'Romance']
1365	Ganbare Genki	7.3	2735	9860	['Combat Sports', 'Comedy', 'Shounen', 'Sports']
1366	High School Fleet	7.3	2739	2030	['Action', 'Military', 'School']
1367	2.5-jigen no Ririsa	7.29	2740	2898	['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'School', 'Shounen']
1368	Aharen-san wa Hakarenai	7.29	2741	709	['Comedy', 'Romance', 'School', 'Shounen']
1369	Busou Renkin	7.29	2746	1376	['Action', 'Fantasy', 'School', 'Shounen', 'Super Power']
1370	Dead Mount Death Play	7.29	2748	1074	['Action', 'Fantasy', 'Reincarnation', 'Seinen', 'Supernatural']
1371	Gaikotsu Shotenin Honda-san	7.29	2752	1854	['Adult Cast', 'Comedy', 'Otaku Culture', 'Workplace']
1372	Ginban Kaleidoscope	7.29	2753	3153	['Drama', 'Performing Arts', 'Romance', 'Sports', 'Supernatural']
1373	GJ-bu	7.29	2754	1364	['Comedy', 'School']
1374	Hisone to Maso-tan	7.29	2756	2349	['Award Winning', 'Comedy', 'Drama', 'Fantasy', 'Military']
1375	Isekai Yakkyoku	7.29	2757	1137	['Fantasy', 'Isekai', 'Medical', 'Reincarnation']
1376	Shin Atashin'chi	7.29	2759	9255	['Comedy', 'Slice of Life']
1377	Shin Chou Kyou Ryo: Condor Hero	7.29	2760	6715	['Adventure', 'Drama', 'Historical', 'Romance']
1378	Shin Grimm Meisaku Gekijou	7.29	2761	10050	['Adventure', 'Comedy', 'Fantasy', 'Kids']
1379	Trinity Blood	7.29	2764	1301	['Action', 'Fantasy', 'Vampire']
1380	Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou	7.29	2767	4490	['Drama', 'Fantasy', 'Mahou Shoujo']
1381	Mushibugyou	7.29	2775	2235	['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Samurai', 'Shounen', 'Super Power']
1382	Onegai My Melody	7.29	2778	5182	['Comedy', 'Fantasy']
1383	Onihei	7.29	2779	3551	['Action', 'Adult Cast', 'Drama', 'Historical', 'Samurai']
1384	Peace Maker Kurogane	7.29	2780	2911	['Action', 'Comedy', 'Historical', 'Samurai', 'Shounen']
1385	Pokemon Diamond & Pearl	7.29	2781	1555	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']
1386	Poputepipikku	7.29	2782	1091	['Comedy', 'Gag Humor', 'Parody']
1387	Kamisama no Inai Nichiyoubi	7.28	2789	1105	['Adventure', 'Drama', 'Fantasy', 'Mystery']
1388	Kiba	7.28	2791	2440	['Action', 'Adventure', 'Fantasy', 'Isekai']
1389	Kuma Kuma Kuma Bear Punch!	7.28	2792	2444	['Adventure', 'Comedy', 'Fantasy', 'Isekai']
1390	Kurau Phantom Memory	7.28	2793	4013	['Action', 'Drama', 'Sci-Fi', 'Space', 'Super Power']
1391	Lupin III: Part III	7.28	2797	4645	['Action', 'Adult Cast', 'Adventure', 'Comedy', 'Seinen']
1392	Macross Δ	7.28	2798	2456	['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']
1393	Mahoraba: Heartful Days	7.28	2799	4356	['Comedy', 'Iyashikei', 'Romance', 'Shounen', 'Visual Arts']
1394	Mahouka Koukou no Rettousei: Raihousha-hen	7.28	2800	662	['Action', 'Fantasy', 'Romance', 'School', 'Sci-Fi']
1395	Maria-sama ga Miteru	7.28	2801	2609	['Drama', 'Girls Love', 'School', 'Shoujo']
1396	Noir	7.28	2807	1916	['Action', 'Drama', 'Mystery', 'Organized Crime']
1397	Senyuu.	7.28	2809	1886	['Action', 'Comedy', 'Fantasy', 'Parody', 'Shounen']
1398	Amagami SS	7.28	2813	616	['Harem', 'Romance', 'School']
1399	Btooom!	7.28	2818	206	['Action', 'Gore', 'High Stakes Game', 'Psychological', 'Sci-Fi', 'Seinen', 'Survival', 'Suspense']
1400	Danna ga Nani wo Itteiru ka Wakaranai Ken	7.28	2821	677	['Adult Cast', 'Comedy', 'Otaku Culture', 'Romance']
1401	Dotto Koni-chan	7.28	2827	8498	['Comedy']
1402	Edens Zero	7.28	2828	962	['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Shounen', 'Space']
1403	Fate/stay night	7.28	2829	172	['Action', 'Fantasy', 'Romance', 'Supernatural']
1404	Fushigiboshi no☆Futagohime	7.28	2830	5846	['Comedy', 'Fantasy', 'Mahou Shoujo']
1405	Gatchaman Crowds	7.28	2831	1312	['Action', 'Sci-Fi', 'Super Power']
1406	Hitorijime My Hero	7.28	2835	1394	['Boys Love', 'Drama', 'School']
1407	Strike Witches 2	7.28	2839	2346	['Action', 'Ecchi', 'Military', 'Sci-Fi']
1408	Suite Precure♪	7.28	2840	5267	['Action', 'Fantasy', 'Mahou Shoujo']
1409	Tari Tari	7.28	2843	1469	['Music', 'School', 'Slice of Life']
1410	Zegapain	7.28	2845	3821	['Action', 'Mecha', 'Romance', 'Sci-Fi']
1411	Zettai Karen Children	7.28	2846	3262	['Action', 'Comedy', 'Shounen', 'Supernatural']
1412	Shounen Maid	7.27	2849	2321	['Iyashikei', 'Shoujo', 'Slice of Life']
1413	Starmyu 2nd Season	7.27	2850	5214	['Idols (Male)', 'Music', 'Performing Arts', 'School']
1414	Strawberry Panic	7.27	2851	1602	['Drama', 'Girls Love', 'School']
1415	Tales of the Abyss	7.27	2852	1809	['Adventure', 'Drama', 'Fantasy']
1416	Tasogare Out Focus	7.27	2853	4415	['Boys Love', 'School']
1417	Top Secret: The Revelation	7.27	2855	4950	['Adult Cast', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Shoujo', 'Suspense']
1418	True Tears	7.27	2856	1136	['Drama', 'Love Polygon', 'Romance', 'School']
1419	Watashi ni Tenshi ga Maiorita!	7.27	2858	1192	['CGDCT', 'Comedy', 'Otaku Culture']
1420	Kannagi	7.27	2861	1398	['Comedy', 'School', 'Shounen', 'Supernatural', 'Visual Arts']
1421	Koukaku no Regios	7.27	2864	1155	['Action', 'Adventure', 'Fantasy', 'Military', 'School', 'Sci-Fi', 'Super Power']
1422	Koutetsujou no Kabaneri	7.27	2865	228	['Action', 'Fantasy', 'Gore', 'Historical', 'Horror', 'Survival', 'Suspense']
1423	Kyuuketsuki Sugu Shinu	7.27	2867	2225	['Adult Cast', 'Comedy', 'Gag Humor', 'Shounen', 'Supernatural', 'Vampire']
1424	Legend of Basara	7.27	2868	5730	['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance', 'Shoujo']
1425	Mai-Otome	7.27	2874	3103	['Comedy', 'Drama', 'Fantasy']
1426	Miracle Giants Doumu-kun	7.27	2875	11469	['Sports', 'Team Sports']
1427	Nijiiro Days	7.27	2876	1048	['Comedy', 'Romance', 'School', 'Shoujo']
1428	Patalliro!	7.27	2878	6752	['Adventure', 'Boys Love', 'Comedy', 'Shoujo']
1429	Potemayo	7.27	2880	5208	['Comedy', 'School', 'Seinen']
1430	Rec	7.27	2881	1927	['Adult Cast', 'Comedy', 'Romance', 'Seinen', 'Showbiz']
1431	Saber Marionette J to X	7.27	2882	5466	['Action', 'Adventure', 'Comedy', 'Harem', 'Mecha', 'Sci-Fi']
1432	Sankarea	7.27	2883	353	['Comedy', 'Ecchi', 'Horror', 'Love Polygon', 'Romance', 'Shounen', 'Supernatural']
1433	Sekirei: Pure Engagement	7.27	2884	1007	['Action', 'Comedy', 'Ecchi', 'Harem', 'Seinen', 'Super Power']
1434	Ahiru no Sora	7.27	2885	1216	['School', 'Shounen', 'Sports', 'Team Sports']
1435	Air	7.27	2886	824	['Drama', 'Romance', 'Supernatural']
1436	Boku wa Tomodachi ga Sukunai Next	7.27	2889	423	['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']
1437	Bokutachi wa Benkyou ga Dekinai	7.27	2890	513	['Comedy', 'Harem', 'Romance', 'School', 'Shounen']
1438	Captain Tsubasa J	7.27	2892	4086	['Shounen', 'Sports', 'Team Sports']
1439	Edomae Elf	7.27	2895	2801	['Comedy', 'Otaku Culture', 'Shounen', 'Supernatural']
1440	Galaxy Angel 3	7.27	2897	6411	['Comedy', 'Sci-Fi']
1441	Helck	7.27	2898	2190	['Action', 'Fantasy']
1442	Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto	7.27	2899	2663	['Idols (Male)', 'School']
1443	Hige wo Soru. Soshite Joshikousei wo Hirou.	7.27	2900	357	['Drama', 'Romance']
1444	High School! Kimengumi	7.27	2904	8775	['Comedy', 'Gag Humor', 'Parody', 'Romance', 'School', 'Shounen']
1445	"Himesama ""Goumon"" no Jikan desu"	7.27	2905	2954	['Comedy', 'Fantasy', 'Gourmet', 'Shounen']
1446	Honoo no Toukyuuji: Dodge Danpei	7.27	2907	8109	['Comedy', 'Kids', 'School', 'Sports', 'Team Sports']
1447	Idol Time PriPara	7.27	2908	7328	['Idols (Female)', 'Music', 'School']
1448	A3! Season Autumn & Winter	7.26	2910	4646	['Drama', 'Performing Arts']
1449	Blend S	7.26	2914	316	['Comedy', 'Otaku Culture', 'Romantic Subtext', 'Workplace']
1450	Dororo to Hyakkimaru	7.26	2919	4726	['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Samurai', 'Shounen']
1451	Gakuen Utopia Manabi Straight!	7.26	2921	4015	['CGDCT', 'Comedy', 'School', 'Slice of Life']
1452	Hanamaru Youchien	7.26	2923	2177	['Childcare', 'Comedy', 'Seinen', 'Slice of Life']
1453	Hatsukoi Limited.	7.26	2924	2081	['Comedy', 'Romance', 'School', 'Shounen']
1454	Imouto sae Ireba Ii.	7.26	2925	697	['Adult Cast', 'Comedy', 'Ecchi', 'Otaku Culture', 'Romance', 'Workplace']
1455	Inazuma Eleven Go: Chrono Stone	7.26	2926	2873	['Sports', 'Super Power', 'Team Sports', 'Time Travel']
1456	Soukyuu no Fafner: Dead Aggressor	7.26	2929	3190	['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']
1457	Tiger Mask	7.26	2932	6202	['Combat Sports', 'Drama', 'Shounen', 'Sports']
1458	Utawarerumono: Itsuwari no Kamen	7.26	2933	1950	['Action', 'Drama', 'Fantasy']
1459	Kaitou Joker 2nd Season	7.26	2936	7568	['Adventure', 'Comedy', 'Kids', 'Mystery']
1460	Kidou Tenshi Angelic Layer	7.26	2940	2896	['Award Winning', 'Comedy', 'Drama', 'Sci-Fi', 'Shounen', 'Strategy Game']
1461	KimiKiss Pure Rouge	7.26	2942	2248	['Drama', 'Romance', 'School']
1462	Kyuujitsu no Warumono-san	7.26	2946	2478	['Fantasy', 'Iyashikei', 'Slice of Life']
1463	Mazinger Z	7.26	2950	5078	['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']
1464	Moonlight Mile 2nd Season: Touch Down	7.26	2951	8481	['Adventure', 'Drama', 'Sci-Fi', 'Space']
1465	Motto To LOVE-Ru	7.26	2952	715	['Comedy', 'Ecchi', 'Harem', 'School', 'Sci-Fi', 'Shounen']
1466	Nanatsu no Taizai: Mokushiroku no Yonkishi	7.26	2953	2766	['Action', 'Adventure', 'Fantasy', 'Shounen']
1467	Natsu no Arashi! Akinaichuu	7.26	2954	4786	['Comedy', 'Romance', 'Shounen', 'Supernatural', 'Time Travel']
1468	Natsuyuki Rendezvous	7.26	2955	2354	['Adult Cast', 'Drama', 'Josei', 'Romance', 'Supernatural']
1469	Nerima Daikon Brothers	7.26	2956	6685	['Comedy', 'Music']
1470	Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X	7.26	2958	1016	['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Reverse Harem', 'Romance', 'School', 'Shoujo']
1471	Phi Brain: Kami no Puzzle - Orpheus Order-hen	7.26	2961	3200	['Action', 'High Stakes Game', 'Mystery', 'Strategy Game', 'Suspense']
1472	RideBack	7.26	2963	3216	['Action', 'Drama', 'Mecha', 'School', 'Sci-Fi', 'Seinen']
1473	Rokka no Yuusha	7.26	2965	340	['Action', 'Adventure', 'Fantasy', 'Mystery']
1474	Selection Project	7.26	2967	3355	['Idols (Female)', 'Music']
1475	Kakumeiki Valvrave 2nd Season	7.25	2969	2202	['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']
1476	Kyouran Kazoku Nikki	7.25	2972	4179	['Comedy', 'Sci-Fi']
1477	Mahoutsukai Precure!	7.25	2974	5553	['Action', 'Fantasy', 'Mahou Shoujo']
1478	Matantei Loki Ragnarok	7.25	2976	3620	['Comedy', 'Mystery', 'Mythology', 'Shounen', 'Supernatural']
1479	MÄR	7.25	2977	3065	['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Shounen']
1480	Mnemosyne: Mnemosyne no Musume-tachi	7.25	2979	1295	['Action', 'Girls Love', 'Gore', 'Horror', 'Sci-Fi', 'Supernatural']
